Customer ID,Age,Total Spending,Product ID,Product Name,Category,Sales,Quantity,Discount,Profit,Store Location,Order Date
CUST1000,47,4885.68,PROD200,Product 1,Office Supplies,95.69,4,0.23,46.97,California,2023-06-11
CUST1001,18,3733.83,PROD201,Product 2,Electronics,728.67,5,0.29,164.65,Florida,2023-06-24
CUST1002,44,4662.48,PROD202,Product 3,Furniture,931.65,4,0.27,45.74,New York,2023-04-05
CUST1003,62,3210.03,PROD203,Product 4,Furniture,473.69,7,0.06,68.98,Washington,2023-08-25
CUST1004,68,4199.34,PROD204,Product 5,Furniture,259.72,6,0.29,70.82,Texas,2023-05-10
CUST1005,50,1704.45,PROD205,Product 6,Furniture,130.34,2,0.08,55.32,New York,2023-02-13
CUST1006,68,1331.68,PROD206,Product 7,Office Supplies,224.08,3,0.09,32.69,Texas,2024-03-01
CUST1007,49,3602.13,PROD207,Product 8,Office Supplies,749.97,3,0.1,113.34,Washington,2024-05-20
CUST1008,21,200.63,PROD208,Product 9,Office Supplies,258.94,1,0.11,8.02,New York,2023-06-08
CUST1009,34,2242.83,PROD209,Product 10,Electronics,590.38,8,0.26,143.01,Florida,2024-03-17
CUST1010,41,3808.38,PROD210,Product 11,Electronics,526.01,6,0.22,90.16,Washington,2023-12-05
CUST1011,55,3653.61,PROD211,Product 12,Furniture,725.37,6,0.05,96.89,California,2023-02-16
CUST1012,30,2925.23,PROD212,Product 13,Furniture,58.43,8,0.06,98.36,New York,2023-10-22
CUST1013,37,360.64,PROD213,Product 14,Office Supplies,453.94,9,0.24,114.58,Florida,2024-01-18
CUST1014,64,1574.92,PROD214,Product 15,Office Supplies,877.99,3,0.01,114.43,Texas,2023-07-15
CUST1015,45,2041.66,PROD215,Product 16,Office Supplies,737.66,3,0.22,67.61,Washington,2023-12-12
CUST1016,32,1159.13,PROD216,Product 17,Electronics,882.18,1,0.01,137.88,New York,2023-07-08
CUST1017,22,2320.52,PROD217,Product 18,Furniture,879.31,9,0.23,95.95,Florida,2024-01-22
CUST1018,39,1981.77,PROD218,Product 19,Office Supplies,77.4,3,0.29,107.95,New York,2023-07-13
CUST1019,52,2466.85,PROD219,Product 20,Electronics,507.57,3,0.03,22.1,California,2024-04-23
CUST1020,44,2583.14,PROD220,Product 1,Furniture,873.34,9,0.2,72.58,Texas,2023-11-10
CUST1021,59,1625.49,PROD221,Product 2,Electronics,325.28,1,0.03,9.64,Florida,2024-03-30
CUST1022,66,4667.73,PROD222,Product 3,Electronics,276.47,8,0.25,101.44,California,2023-08-04
CUST1023,50,3448.71,PROD223,Product 4,Office Supplies,949.16,2,0.01,47.78,Texas,2023-01-05
CUST1024,30,4824.56,PROD224,Product 5,Furniture,710.16,7,0.26,136.18,Washington,2023-12-30
CUST1025,54,2302.43,PROD225,Product 6,Office Supplies,554.47,3,0.14,171.43,Florida,2023-12-27
CUST1026,40,4572.97,PROD226,Product 7,Furniture,768.64,2,0.12,192.89,California,2023-02-11
CUST1027,30,2136.84,PROD227,Product 8,Office Supplies,726.78,1,0.18,67.23,New York,2024-03-02
CUST1028,59,349.63,PROD228,Product 9,Furniture,929.89,7,0.21,77.2,Florida,2023-02-02
CUST1029,29,1239.15,PROD229,Product 10,Office Supplies,118.03,8,0.16,100.35,Texas,2023-02-16
CUST1030,41,1749.62,PROD230,Product 11,Furniture,78.07,2,0.29,109.8,Washington,2023-11-11
CUST1031,57,202.52,PROD231,Product 12,Electronics,324.79,8,0.29,19.25,Florida,2024-01-06
CUST1032,52,4091.02,PROD232,Product 13,Electronics,594.66,8,0.26,65.86,New York,2024-04-21
CUST1033,34,1723.14,PROD233,Product 14,Furniture,639.24,8,0.27,77.91,Texas,2024-04-04
CUST1034,66,4428.83,PROD234,Product 15,Office Supplies,154.19,1,0.29,59.95,California,2024-01-16
CUST1035,39,294.21,PROD235,Product 16,Electronics,533.01,4,0.1,150.02,Washington,2023-09-24
CUST1036,34,1595.91,PROD236,Product 17,Office Supplies,694.01,4,0.29,162.64,Florida,2024-03-29
CUST1037,47,1077.73,PROD237,Product 18,Furniture,767.7,1,0.21,176.43,New York,2023-12-04
CUST1038,36,1270.33,PROD238,Product 19,Office Supplies,419.27,7,0.14,9.43,California,2024-01-25
CUST1039,56,4827.79,PROD239,Product 20,Furniture,957.74,1,0.05,135.29,Washington,2023-04-21
CUST1040,35,1424.56,PROD240,Product 1,Furniture,682.52,4,0.26,13.91,Texas,2023-07-23
CUST1041,34,1764.11,PROD241,Product 2,Furniture,854.7,8,0.05,19.92,Washington,2023-01-18
CUST1042,20,2104.73,PROD242,Product 3,Electronics,792.7,9,0.12,171.77,Florida,2023-10-01
CUST1043,33,3522.89,PROD243,Product 4,Furniture,750.31,2,0.18,57.08,California,2024-05-01
CUST1044,55,4230.71,PROD244,Product 5,Furniture,598.58,6,0.28,123.52,Washington,2023-07-14
CUST1045,34,4904.22,PROD245,Product 6,Electronics,853.97,6,0.2,170.83,New York,2023-11-27
CUST1046,28,3617.2,PROD246,Product 7,Office Supplies,574.9,9,0.29,70.26,California,2023-06-29
CUST1047,44,4811.45,PROD247,Product 8,Electronics,254.55,4,0.05,160.74,Texas,2023-12-08
CUST1048,29,1872.67,PROD248,Product 9,Electronics,92.4,6,0.22,30.15,Washington,2023-05-09
CUST1049,47,2048.85,PROD249,Product 10,Furniture,326.21,4,0.27,153.07,Florida,2024-05-14
CUST1050,31,4182.64,PROD250,Product 11,Office Supplies,616.64,9,0.03,140.71,New York,2023-01-11
CUST1051,26,1720.31,PROD251,Product 12,Office Supplies,501.16,3,0.17,70.01,California,2024-02-19
CUST1052,34,3453.49,PROD252,Product 13,Office Supplies,718.25,6,0.05,84.63,Texas,2023-06-10
CUST1053,34,1883.58,PROD253,Product 14,Furniture,101.02,8,0.03,104.01,Washington,2023-10-20
CUST1054,30,4712.26,PROD254,Product 15,Electronics,891.5,1,0.1,113.35,New York,2024-04-28
CUST1055,44,3615.72,PROD255,Product 16,Furniture,398.15,4,0.2,77.96,Texas,2023-05-26
CUST1056,65,3480.78,PROD256,Product 17,Electronics,421.51,2,0.05,34.14,Florida,2024-05-09
CUST1057,39,2851.84,PROD257,Product 18,Electronics,919.06,7,0.11,7.38,New York,2023-11-21
CUST1058,56,2824.5,PROD258,Product 19,Electronics,554.67,8,0.08,107.3,California,2023-12-14
CUST1059,38,3797.22,PROD259,Product 20,Furniture,819.6,8,0.11,43.44,Washington,2023-04-06
CUST1060,66,409.92,PROD260,Product 1,Furniture,599.41,4,0.13,34.71,Texas,2024-04-09
CUST1061,37,3914.69,PROD261,Product 2,Electronics,339.3,9,0.05,27.05,California,2023-09-26
CUST1062,43,3458.79,PROD262,Product 3,Electronics,236.79,1,0.11,192.82,Florida,2023-04-16
CUST1063,52,3594.26,PROD263,Product 4,Electronics,81.21,8,0.21,11.12,New York,2023-12-30
CUST1064,36,1873.29,PROD264,Product 5,Furniture,940.85,6,0.15,52.29,Texas,2023-10-03
CUST1065,22,3394.57,PROD265,Product 6,Furniture,596.27,2,0.05,155.17,Washington,2023-01-23
CUST1066,22,316.25,PROD266,Product 7,Office Supplies,807.08,8,0.12,107.2,New York,2023-04-25
CUST1067,49,2045.53,PROD267,Product 8,Office Supplies,704.83,1,0.03,81.75,California,2023-04-11
CUST1068,47,3587.53,PROD268,Product 9,Electronics,672.12,8,0.23,48.2,Florida,2023-06-24
CUST1069,39,1410.58,PROD269,Product 10,Electronics,423.14,4,0.01,115.38,Washington,2023-07-09
CUST1070,60,1256.46,PROD270,Product 11,Electronics,193.14,5,0.09,38.48,California,2023-04-20
CUST1071,26,4804.88,PROD271,Product 12,Office Supplies,374.17,6,0.25,134.66,Florida,2023-06-27
CUST1072,32,3565.56,PROD272,Product 13,Furniture,114.01,3,0.1,199.18,Texas,2023-05-02
CUST1073,26,1117.99,PROD273,Product 14,Office Supplies,519.79,2,0.11,195.6,Washington,2023-08-25
CUST1074,45,4862.36,PROD274,Product 15,Electronics,78.19,1,0.08,136.77,New York,2023-12-26
CUST1075,32,4074.93,PROD275,Product 16,Office Supplies,339.3,8,0.2,120.38,California,2023-06-16
CUST1076,24,1090.92,PROD276,Product 17,Office Supplies,251.55,1,0.26,62.28,Texas,2023-12-05
CUST1077,48,1547.85,PROD277,Product 18,Office Supplies,181.27,9,0.26,34.5,Washington,2023-06-27
CUST1078,46,2855.04,PROD278,Product 19,Electronics,896.16,2,0.06,92.3,Florida,2023-05-28
CUST1079,27,279.34,PROD279,Product 20,Office Supplies,368.6,8,0.12,133.69,New York,2023-08-19
CUST1080,47,1944.09,PROD280,Product 1,Office Supplies,394.67,8,0.18,178.72,Washington,2023-07-15
CUST1081,29,1183.08,PROD281,Product 2,Furniture,110.11,2,0.17,99.31,California,2023-07-01
CUST1082,20,1965.3,PROD282,Product 3,Electronics,718.57,5,0.27,60.08,Florida,2024-04-12
CUST1083,56,4960.86,PROD283,Product 4,Electronics,421.46,8,0.09,179.63,Texas,2023-08-06
CUST1084,68,4554.29,PROD284,Product 5,Furniture,240.3,9,0.06,124.31,New York,2023-01-15
CUST1085,41,304.18,PROD285,Product 6,Office Supplies,963.37,1,0.09,192.45,Washington,2023-02-14
CUST1086,38,1792.82,PROD286,Product 7,Furniture,938.67,9,0.03,53.37,California,2024-02-11
CUST1087,40,3682.09,PROD287,Product 8,Furniture,475.55,5,0.27,43.55,Texas,2023-02-11
CUST1088,31,2688.26,PROD288,Product 9,Furniture,543.84,3,0.1,95.19,New York,2023-10-02
CUST1089,45,1278.52,PROD289,Product 10,Furniture,434.09,9,0.25,38.35,Florida,2023-06-28
CUST1090,26,1344.48,PROD290,Product 11,Electronics,816.34,6,0.22,134.44,California,2024-05-23
CUST1091,67,1077.57,PROD291,Product 12,Office Supplies,439.86,9,0.13,165.04,New York,2023-11-12
CUST1092,49,3152.58,PROD292,Product 13,Furniture,816.91,8,0.05,51.95,Texas,2023-08-08
CUST1093,39,4701.86,PROD293,Product 14,Office Supplies,355.06,2,0.27,120.89,California,2023-10-11
CUST1094,42,403.1,PROD294,Product 15,Furniture,366.88,2,0.05,24.39,Washington,2024-03-30
CUST1095,20,2585.38,PROD295,Product 16,Furniture,253.94,6,0.09,136.29,Texas,2023-06-19
CUST1096,37,1203.53,PROD296,Product 17,Electronics,148.57,5,0.05,142.79,Florida,2023-05-01
CUST1097,38,2186.53,PROD297,Product 18,Office Supplies,333.98,5,0.13,30.24,New York,2023-04-24
CUST1098,59,309.73,PROD298,Product 19,Furniture,359.13,1,0.13,174.29,California,2023-08-04
CUST1099,44,3057.96,PROD299,Product 20,Electronics,614.9,8,0.22,53.21,Texas,2023-01-19
